column_name,explanation
postal_code,user info
product_type,user info
reason_flexi,user info
reason_premium,user info
residence_tenure_in_weeks,bureau info
restructured_loan_count_52,bureau info
rule_engine_output,assessment info
salary_day_of_month,assessment info
salary_estimate,assessment info
salary_estimate_type,assessment info
salary_in_payslip,user info
scheme,user info
secured_inquiry_count_9,bureau info
sms_credit_180d_360d_amount,device info
sms_credit_180d_360d_count,device info
sms_credit_180d_360d_unique_accounts,device info
sms_credit_30d_60d_amount,device info
sms_credit_30d_60d_count,device info
sms_credit_30d_60d_unique_accounts,device info
sms_credit_30d_amount,device info
sms_credit_30d_count,device info
sms_credit_30d_unique_accounts,device info
sms_credit_60d_180d_amount,device info
sms_credit_60d_180d_count,device info
sms_credit_60d_180d_unique_accounts,device info
sms_credit_account_180d_360d_amount,device info
sms_credit_account_180d_360d_count,device info
sms_credit_account_30d_60d_amount,device info
sms_credit_account_30d_60d_count,device info
sms_credit_account_30d_amount,device info
sms_credit_account_30d_count,device info
sms_credit_account_60d_180d_amount,device info
sms_credit_account_60d_180d_count,device info
sms_credit_atm_180d_360d_amount,device info
sms_credit_atm_180d_360d_count,device info
sms_credit_atm_30d_60d_amount,device info
sms_credit_atm_30d_60d_count,device info
sms_credit_atm_30d_amount,device info
sms_credit_atm_30d_count,device info
sms_credit_atm_60d_180d_amount,device info
sms_credit_atm_60d_180d_count,device info
sms_credit_ib_180d_360d_amount,device info
sms_credit_ib_180d_360d_count,device info
sms_credit_ib_30d_60d_amount,device info
sms_credit_ib_30d_60d_count,device info
sms_credit_ib_30d_amount,device info
sms_credit_ib_30d_count,device info
sms_credit_ib_60d_180d_amount,device info
sms_credit_ib_60d_180d_count,device info
sms_credit_mb_180d_360d_amount,device info
sms_credit_mb_180d_360d_count,device info
sms_credit_mb_30d_60d_amount,device info
sms_credit_mb_30d_60d_count,device info
sms_credit_mb_30d_amount,device info
sms_credit_mb_30d_count,device info
sms_credit_mb_60d_180d_amount,device info
sms_credit_mb_60d_180d_count,device info
sms_days_count,device info
sms_debit_180d_360d_amount,device info
sms_debit_180d_360d_count,device info
sms_debit_180d_360d_unique_accounts,device info
sms_debit_30d_60d_amount,device info
sms_debit_30d_60d_count,device info
sms_debit_30d_60d_unique_accounts,device info
sms_debit_30d_amount,device info
sms_debit_30d_count,device info
sms_debit_30d_unique_accounts,device info
sms_debit_60d_180d_amount,device info
sms_debit_60d_180d_count,device info
sms_debit_60d_180d_unique_accounts,device info
sms_debit_account_180d_360d_amount,device info
sms_debit_account_180d_360d_count,device info
sms_debit_account_30d_60d_amount,device info
sms_debit_account_30d_60d_count,device info
sms_debit_account_30d_amount,device info
sms_debit_account_30d_count,device info
sms_debit_account_60d_180d_amount,device info
sms_debit_account_60d_180d_count,device info
sms_debit_atm_180d_360d_amount,device info
sms_debit_atm_180d_360d_count,device info
sms_debit_atm_30d_60d_amount,device info
sms_debit_atm_30d_60d_count,device info
